ECM-912-56058, ,ECM-912-56091, ,ECM-912-56129, 
114.587902,113.9079527,114.065356977979,112.014373412336,113.9051687,112.7291633
114.9247873,114.2914752,114.437384641564,112.420185905438,114.2720138,113.1118178
115.2434365,114.6580056,114.791964904993,112.810270085788,114.6223861,113.4786527
115.5390684,115.0018543,115.123492559617,113.178270857538,114.9522157,113.8252942
115.8077889,115.3179236,115.42761386968,113.518910569302,115.2578402,114.1476434
116.0516418,115.6081236,115.706972951518,113.834856320046,115.5412551,114.4475421
116.2723149,115.8737785,115.963159040132,114.127530389512,115.8024395,114.724569
116.4701056,116.114603,116.195342829997,114.395672283742,116.0392463,114.9760094
116.6463778,116.3317238,116.403616046085,114.639014815824,116.2513527,115.2012309
116.8025044,116.5265505,116.588596538012,114.857866070152,116.4392694,115.4008307
116.938763,116.6992497,116.750095869846,115.051618590087,116.6024479,115.5744554
117.0560653,116.8506066,116.888918777052,115.220921505178,116.7416866,115.7229703
117.1545053,116.9805133,117.006006817861,115.366958134182,116.8584667,115.84769
117.2341795,117.08905,117.103772399597,115.492581155417,116.9551513,115.9506574
117.2943993,117.1756178,117.183100804454,115.598646293886,117.0322931,116.0320468
117.3357617,117.2410669,117.24398583956,115.684874840498,117.090619,116.0927647
117.3588869,117.2861776,117.285588753196,115.750263099126,117.1298048,116.1328223
117.3641826,117.3115098,117.307710505818,115.794526759966,117.1498647,116.1522628
117.3512829,117.3168855,117.311041869574,115.818324022246,117.151435,116.1515669
117.319946,117.3026596,117.295651228476,115.821714407106,117.1338963,116.1299878
117.2713619,117.2703386,117.262153483569,115.805772831789,117.0972459,116.0879059
117.2050597,117.2194607,117.209585165214,115.769876072437,117.0414425,116.0256685
117.1210066,117.1496475,117.13871208891,115.714948524187,116.9661355,115.9428912
117.0184491,117.0596156,117.048520112659,115.640273353405,116.8696021,115.8378244
116.8965132,116.9496667,116.938317692745,115.546977397123,116.7508759,115.7093008
116.7546308,116.8201459,116.808438512218,115.433317315756,116.6135748,115.5616597
116.592627,116.670068,116.659369184017,115.296754835781,116.458708,115.3965632
116.410756,116.4994903,116.490228351478,115.13700339377,116.2865829,115.2145348
116.2095679,116.3083892,116.299764347426,114.953501579732,116.0944838,115.0116745
115.9874039,116.0962156,116.087734289758,114.750033362783,115.8798714,114.7854342
115.743164,115.8620689,115.854381457741,114.5268044734,115.643194,114.5366602
115.4768972,115.606014,115.602000305692,114.284720672379,115.3855758,114.2669748
115.189902,115.3292262,115.329229300762,114.022088133233,115.1066348,113.9768807
114.8836547,115.0326664,115.036135757927,113.738255261233,114.8079501,113.6680036
114.5575977,114.7156924,114.722935811086,113.432912802367,114.4885642,113.3397492
114.2126557,114.3790012,114.390410501638,113.107646870544,114.1494525,112.9933601
113.8472171,114.0216192,114.039578046768,112.762903415066,113.7915846,112.6285222
113.4619394,113.6449943,113.669911908103,112.398476033292,113.4155159,112.2464024
113.0583335,113.2501238,113.282525336542,112.015359309156,113.0221554,111.8477893
112.6383053,112.8383957,112.877918824826,111.614068687804,112.6120313,111.4338934
112.204088,112.411452,112.457506063701,111.195732144296,112.1865489,111.0059629
111.7554407,111.9690074,112.022440133828,110.761242394791,111.7470572,110.5653932
111.2922689,111.5115046,111.574397438245,110.312203530592,111.2945927,110.1129653
110.816277,111.0406257,111.114355935464,109.849998278073,110.8304921,109.6500084
110.329115,110.5575272,110.644147041934,109.376020807096,110.3558364,109.1774888
109.8332955,110.0644033,110.165151573972,108.891090698206,109.8726779,108.6975555
109.3307238,109.5630275,109.680497059699,108.397660785424,109.38409,108.2130583
108.8237312,109.0557091,109.193522939722,107.898991373344,108.8924352,107.726439
108.3162299,108.5466918,108.708939158302,107.39903629091,108.4029146,107.242706
107.8135347,108.0413365,108.230367310364,106.903589434121,107.9205089,106.7669911
107.3163454,107.549215,107.762833877904,106.422401584168,107.4551619,106.3096482
106.8301876,107.0838135,107.307315075371,105.968591821774,107.0178982,105.8841274
106.3926235,106.6612735,106.88945536412,105.561244714214,106.6168797,105.5096593
106.0305448,106.3046186,106.549059814722,105.220804446628,106.2734691,105.2047732
