THD Ratio -> Specify Data Points,,,
Left,,Right,
X,Y,X,Y
Hz,%,Hz,%
20,0.433977991,20,0.713880848
20.70643687,0.431112281,20.70643687,0.713874237
21.43782638,0.428145348,21.43782638,0.713867393
22.19504993,0.425073619,22.19504993,0.713860307
22.97902,0.42189339,22.97902,0.713852971
23.79068135,0.418600829,23.79068135,0.713845375
24.63101207,0.415191969,24.63101207,0.713837512
25.50102481,0.411662702,25.50102481,0.71382937
26.40176802,0.4099784,26.40176802,0.715216424
27.33432713,0.408609882,27.33432713,0.716918355
28.29982595,0.407193026,28.29982595,0.718680402
29.29942797,0.405726123,29.29942797,0.720504687
30.33433777,0.404207407,30.33433777,0.722393409
31.40580249,0.402635047,31.40580249,0.724348845
32.51511333,0.401455132,32.51511333,0.726150294
33.66360707,0.400878987,33.66360707,0.727693999
34.85266772,0.40028249,34.85266772,0.729292231
36.08372819,0.399664925,36.08372819,0.730946915
37.35827198,0.399025546,37.35827198,0.732660046
38.67783501,0.398473804,38.67783501,0.734204649
40.04400744,0.398484636,40.04400744,0.734594291
41.45843559,0.398495851,41.45843559,0.734997695
42.92282396,0.398507462,42.92282396,0.735415349
44.43893722,0.398519483,44.43893722,0.735847754
46.0086024,0.399023562,46.0086024,0.735200493
47.63371104,0.399739256,47.63371104,0.734098727
49.31622152,0.400480229,49.31622152,0.732958044
51.05816136,0.401247375,51.05816136,0.731777071
52.86162974,0.402500875,52.86162974,0.729257548
54.72879994,0.403866047,54.72879994,0.726458725
56.66192204,0.405279438,56.66192204,0.723561041
58.66332557,0.406776095,58.66332557,0.719870193
60.73542236,0.408362246,60.73542236,0.715290034
62.88070943,0.410004423,62.88070943,0.710548096
65.101772,0.41153865,65.101772,0.705132618
67.40128659,0.412916967,67.40128659,0.698885194
69.78202427,0.41434397,69.78202427,0.6924171
72.24685399,0.415306203,72.24685399,0.685134949
74.79874605,0.416077639,74.79874605,0.677340068
77.44077564,0.416662468,77.44077564,0.66911687
80.17612658,0.416359424,80.17612658,0.659953272
83.00809516,0.416045677,83.00809516,0.650465999
85.94009409,0.414799998,85.94009409,0.640501861
88.97565662,0.413391369,88.97565662,0.630167461
92.11844082,0.411228216,92.11844082,0.619537266
95.37223395,0.408752713,95.37223395,0.608554773
98.74095706,0.405354878,98.74095706,0.5971629
102.2286697,0.40157588,102.2286697,0.585361933
105.8395747,0.396905358,105.8395747,0.573222303
109.5780236,0.391871935,109.5780236,0.560626068
113.4485214,0.386028686,113.4485214,0.547390825
117.4557323,0.379757192,117.4557323,0.533876319
121.6044852,0.373049465,121.6044852,0.52006663
125.8997798,0.365745123,125.8997798,0.506027915
130.3467921,0.358166781,130.3467921,0.49168429
134.9508811,0.350361088,134.9508811,0.4770973
139.7175949,0.342792209,139.7175949,0.462842151
144.6526779,0.335271375,144.6526779,0.448442378
149.7620772,0.32801311,149.7620772,0.434158499
155.0519498,0.321286967,155.0519498,0.420291268
160.5286704,0.315343924,160.5286704,0.407073969
166.198839,0.309955922,166.198839,0.394185242
172.0692883,0.305300867,172.0692883,0.381877766
178.1470928,0.30120929,178.1470928,0.370089689
184.4395765,0.297393484,184.4395765,0.358731555
190.9543223,0.293360465,190.9543223,0.347633835
197.6991809,0.28861932,197.6991809,0.336448218
204.6822804,0.282743911,204.6822804,0.324910706
211.9120359,0.2758948,211.9120359,0.313095144
219.3971596,0.268508286,219.3971596,0.301034589
227.1466717,0.260934722,227.1466717,0.288981302
235.1699108,0.253897237,235.1699108,0.277411508
243.4765455,0.247596133,243.4765455,0.26695037
252.0765859,0.242497334,252.0765859,0.258331959
260.9803956,0.2378961,260.9803956,0.250864958
270.1987042,0.233310709,270.1987042,0.244353735
279.7426205,0.228284751,279.7426205,0.238381656
289.6236455,0.22282259,289.6236455,0.232575241
299.8536866,0.217399976,299.8536866,0.22710665
310.4450715,0.212578826,310.4450715,0.222047672
321.4105637,0.208583702,321.4105637,0.217102728
332.7633772,0.205670621,332.7633772,0.211738661
344.5171931,0.204154253,344.5171931,0.20572976
356.6861754,0.203461443,356.6861754,0.19921576
369.2849886,0.201701442,369.2849886,0.192446375
382.3288151,0.196742411,382.3288151,0.186486623
395.8333736,0.18902695,395.8333736,0.182874411
409.814938,0.181744199,409.814938,0.181610282
424.290357,0.177777284,424.290357,0.180836427
439.2770745,0.176389054,439.2770745,0.178845673
454.7931505,0.176140249,454.7931505,0.176563415
470.8572829,0.176114,470.8572829,0.175037014
487.48883,0.176120112,487.48883,0.174448081
504.7078341,0.177173364,504.7078341,0.175086362
522.5350451,0.180188069,522.5350451,0.17672424
540.9919461,0.183114387,540.9919461,0.178037246
560.1007788,0.183610512,560.1007788,0.179318592
579.8845708,0.18236001,579.8845708,0.178859277
600.3671627,0.184177849,600.3671627,0.175611093
621.5732376,0.191692073,621.5732376,0.17449681
643.5283501,0.201100465,643.5283501,0.177748497
666.2589576,0.204501295,666.2589576,0.178808594
689.7924521,0.189676374,689.7924521,0.168694944
714.157193,0.159448727,714.157193,0.150226526
739.3825414,0.13922009,739.3825414,0.142868024
765.4988957,0.134432804,765.4988957,0.15544269
792.5377277,0.137324054,792.5377277,0.154369769
820.5316212,0.151888748,820.5316212,0.149108822
849.5143105,0.166865484,849.5143105,0.160102473
879.5207219,0.176840792,879.5207219,0.187927239
910.587015,0.180726632,910.587015,0.193620993
942.7506268,0.17464909,942.7506268,0.178997747
976.0503167,0.173633346,976.0503167,0.178422709
1010.526213,0.173873603,1010.526213,0.184130793
1046.219862,0.17636379,1046.219862,0.184811842
1083.174276,0.171760721,1083.174276,0.184789132
1121.433988,0.168103411,1121.433988,0.183805412
1161.045103,0.165025895,1161.045103,0.140346113
1202.055356,0.164082101,1202.055356,0.070989473
1244.514167,0.170781761,1244.514167,0.255897825
1288.472702,0.150916311,1288.472702,0.227185661
1333.983933,0.122355784,1333.983933,0.178100259
1381.102704,0.133666859,1381.102704,0.138188972
1429.885797,0.191598192,1429.885797,0.124933904
1480.391999,0.232145394,1480.391999,0.16375316
1532.682174,0.222966853,1532.682174,0.189222972
1586.819333,0.208532976,1586.819333,0.202493354
1642.868717,0.200855965,1642.868717,0.20840147
1700.897868,0.199871412,1700.897868,0.209565217
1760.976716,0.202626128,1760.976716,0.21673054
1823.17766,0.200958866,1823.17766,0.218601405
1887.575656,0.204237461,1887.575656,0.221600654
1954.248307,0.205539409,1954.248307,0.229209999
2023.27596,0.212097297,2023.27596,0.225623909
2094.741796,0.213447213,2094.741796,0.228013312
2168.731937,0.212631198,2168.731937,0.227776371
2245.335547,0.210779883,2245.335547,0.226001611
2324.644937,0.211797307,2324.644937,0.225882886
2406.755682,0.216370234,2406.755682,0.228679497
2491.766729,0.211168711,2491.766729,0.225300896
2579.780523,0.211498342,2579.780523,0.224268963
2670.903126,0.21205079,2670.903126,0.225840988
2765.244348,0.213983115,2765.244348,0.223163085
2862.917875,0.214401762,2862.917875,0.22087679
2964.041412,0.217428152,2964.041412,0.22212666
3068.736818,0.214530363,3068.736818,0.22188703
3177.130259,0.214908556,3177.130259,0.216685962
3289.352356,0.217118075,3289.352356,0.209916257
3405.538344,0.204174025,3405.538344,0.195719845
3525.828236,0.19553308,3525.828236,0.180829183
3650.366989,0.180956091,3650.366989,0.166989105
3779.304679,0.156970134,3779.304679,0.138741484
3912.796687,0.142776371,3912.796687,0.118271135
4051.003878,0.12385219,4051.003878,0.101629451
4194.092803,0.109958914,4194.092803,0.08454871
4342.235891,0.099918185,4342.235891,0.066866939
4495.611667,0.086406453,4495.611667,0.061819114
4654.404958,0.07796466,4654.404958,0.052346855
4818.80712,0.083209432,4818.80712,0.043585552
4989.01627,0.077839063,4989.01627,0.040557178
5165.237521,0.088042004,5165.237521,0.039987427
