"Level -> Specify Data Points",,,
Left,,Right,
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
20,114.065356977979,20,112.014373412336
21.4453444402065,114.437384641564,21.4453444402065,112.420185905438
22.9951399079547,114.791964904993,22.9951399079547,112.810270085788
24.6569347888413,115.123492559617,24.6569347888413,113.178270857538
26.4388229693206,115.42761386968,26.4388229693206,113.518910569302
28.3494832585361,115.706972951518,28.3494832585361,113.834856320046
30.3982216590587,115.963159040132,30.3982216590587,114.127530389512
32.5950166924129,116.195342829997,32.5950166924129,114.395672283742
34.9505680001537,116.403616046085,34.9505680001537,114.639014815824
37.4763484572077,116.588596538012,37.4763484572077,114.857866070152
40.184660051301,116.750095869846,40.184660051301,115.051618590087
43.0886938006377,116.888918777052,43.0886938006377,115.220921505178
46.2025940016633,117.006006817861,46.2025940016633,115.366958134182
49.5415271198343,117.103772399597,49.5415271198343,115.492581155417
53.1217556589338,117.183100804454,53.1217556589338,115.598646293886
56.9607173687161,117.24398583956,56.9607173687161,115.684874840498
61.0771101766684,117.285588753196,61.0771101766684,115.750263099126
65.4909832575547,117.307710505818,65.4909832575547,115.794526759966
70.2238346843027,117.311041869574,70.2238346843027,115.818324022246
75.2987161358495,117.295651228476,75.2987161358495,115.821714407106
80.7403451719312,117.262153483569,80.7403451719312,115.805772831789
86.5752256216613,117.209585165214,86.5752256216613,115.769876072437
92.8317766722558,117.13871208891,92.8317766722558,115.714948524187
99.5404712866424,117.048520112659,99.5404712866424,115.640273353405
106.733984624126,116.938317692745,106.733984624126,115.546977397123
114.447353187005,116.808438512218,114.447353187005,115.433317315756
122.718145468264,116.659369184017,122.718145468264,115.296754835781
131.586644931514,116.490228351478,131.586644931514,115.13700339377
141.096046214373,116.299764347426,141.096046214373,114.953501579732
151.292665510926,116.087734289758,151.292665510926,114.750033362783
162.226166157938,115.854381457741,162.226166157938,114.5268044734
173.949800523557,115.602000305692,173.949800523557,114.284720672379
186.520669376644,115.329229300762,186.520669376644,114.022088133233
200.000000000001,115.036135757927,200.000000000001,113.738255261233
214.453444402065,114.722935811086,214.453444402065,113.432912802367
229.951399079548,114.390410501638,229.951399079548,113.107646870544
246.569347888414,114.039578046768,246.569347888414,112.762903415066
264.388229693207,113.669911908103,264.388229693207,112.398476033292
283.494832585362,113.282525336542,283.494832585362,112.015359309156
303.982216590588,112.877918824826,303.982216590588,111.614068687804
325.95016692413,112.457506063701,325.95016692413,111.195732144296
349.505680001538,112.022440133828,349.505680001538,110.761242394791
374.763484572078,111.574397438245,374.763484572078,110.312203530592
401.846600513011,111.114355935464,401.846600513011,109.849998278073
430.886938006378,110.644147041934,430.886938006378,109.376020807096
462.025940016634,110.165151573972,462.025940016634,108.891090698206
495.415271198344,109.680497059699,495.415271198344,108.397660785424
531.217556589339,109.193522939722,531.217556589339,107.898991373344
569.607173687163,108.708939158302,569.607173687163,107.39903629091
610.771101766686,108.230367310364,610.771101766686,106.903589434121
654.909832575549,107.762833877904,654.909832575549,106.422401584168
702.238346843029,107.307315075371,702.238346843029,105.968591821774
752.987161358497,106.88945536412,752.987161358497,105.561244714214
807.403451719315,106.549059814722,807.403451719315,105.220804446628
865.752256216616,106.312865844769,865.752256216616,104.966128183752
928.31776672256,106.194095344317,928.31776672256,104.80699697
995.404712866427,106.157609847271,995.404712866427,104.742808182788
1067.33984624127,106.204287528107,1067.33984624127,104.744781482254
1144.47353187005,106.301033357124,1144.47353187005,104.762967932116
1227.18145468264,106.370570414545,1227.18145468264,104.783393739564
1315.86644931514,106.3501429179,1315.86644931514,104.775371073703
1410.96046214374,106.200051377102,1410.96046214374,104.78410679417
1512.92665510927,106.017516077196,1512.92665510927,104.914264020083
1622.26166157938,105.946385832043,1622.26166157938,105.209212770478
1739.49800523558,106.104861529035,1739.49800523558,105.611546482084
1865.20669376645,106.487889834977,1865.20669376645,106.00317887242
2000.00000000001,106.984268039486,2000.00000000001,106.312100779156
2144.53444402066,107.466900002963,2144.53444402066,106.548557674682
2299.51399079549,107.85341077827,2299.51399079549,106.737106521658
2465.69347888415,108.115883118781,2465.69347888415,106.895761221164
2643.88229693208,108.263609825699,2643.88229693208,107.029718470552
2834.94832585363,108.314509771551,2834.94832585363,107.130954445319
3039.82216590589,108.275021783489,3039.82216590589,107.183045794171
3259.50166924131,108.141564387512,3259.50166924131,107.164995076022
3495.05680001539,107.932193816749,3495.05680001539,107.0632694566
3747.63484572079,107.674903653732,3747.63484572079,106.874693527578
4018.46600513012,107.385965246358,4018.46600513012,106.61708469587
4308.8693800638,107.088325113131,4308.8693800638,106.332189689212
4620.25940016635,106.809232075482,4620.25940016635,106.080432213934
4954.15271198346,106.614290523917,4954.15271198346,105.906885333283
5312.17556589341,106.566482426977,5312.17556589341,105.835146060562
