Level -> Specify Data Points,,,
Left,,Right,
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
20,113.9051687,20,112.7291633
21.44534444,114.2720138,21.44534444,113.1118178
22.99513991,114.6223861,22.99513991,113.4786527
24.65693479,114.9522157,24.65693479,113.8252942
26.43882297,115.2578402,26.43882297,114.1476434
28.34948326,115.5412551,28.34948326,114.4475421
30.39822166,115.8024395,30.39822166,114.724569
32.59501669,116.0392463,32.59501669,114.9760094
34.950568,116.2513527,34.950568,115.2012309
37.47634846,116.4392694,37.47634846,115.4008307
40.18466005,116.6024479,40.18466005,115.5744554
43.0886938,116.7416866,43.0886938,115.7229703
46.202594,116.8584667,46.202594,115.84769
49.54152712,116.9551513,49.54152712,115.9506574
53.12175566,117.0322931,53.12175566,116.0320468
56.96071737,117.090619,56.96071737,116.0927647
61.07711018,117.1298048,61.07711018,116.1328223
65.49098326,117.1498647,65.49098326,116.1522628
70.22383468,117.151435,70.22383468,116.1515669
75.29871614,117.1338963,75.29871614,116.1299878
80.74034517,117.0972459,80.74034517,116.0879059
86.57522562,117.0414425,86.57522562,116.0256685
92.83177667,116.9661355,92.83177667,115.9428912
99.54047129,116.8696021,99.54047129,115.8378244
106.7339846,116.7508759,106.7339846,115.7093008
114.4473532,116.6135748,114.4473532,115.5616597
122.7181455,116.458708,122.7181455,115.3965632
131.5866449,116.2865829,131.5866449,115.2145348
141.0960462,116.0944838,141.0960462,115.0116745
151.2926655,115.8798714,151.2926655,114.7854342
162.2261662,115.643194,162.2261662,114.5366602
173.9498005,115.3855758,173.9498005,114.2669748
186.5206694,115.1066348,186.5206694,113.9768807
200,114.8079501,200,113.6680036
214.4534444,114.4885642,214.4534444,113.3397492
229.9513991,114.1494525,229.9513991,112.9933601
246.5693479,113.7915846,246.5693479,112.6285222
264.3882297,113.4155159,264.3882297,112.2464024
283.4948326,113.0221554,283.4948326,111.8477893
303.9822166,112.6120313,303.9822166,111.4338934
325.9501669,112.1865489,325.9501669,111.0059629
349.50568,111.7470572,349.50568,110.5653932
374.7634846,111.2945927,374.7634846,110.1129653
401.8466005,110.8304921,401.8466005,109.6500084
430.886938,110.3558364,430.886938,109.1774888
462.02594,109.8726779,462.02594,108.6975555
495.4152712,109.38409,495.4152712,108.2130583
531.2175566,108.8924352,531.2175566,107.726439
569.6071737,108.4029146,569.6071737,107.242706
610.7711018,107.9205089,610.7711018,106.7669911
654.9098326,107.4551619,654.9098326,106.3096482
702.2383468,107.0178982,702.2383468,105.8841274
752.9871614,106.6168797,752.9871614,105.5096593
807.4034517,106.2734691,807.4034517,105.2047732
865.7522562,106.0107743,865.7522562,104.9829484
928.3177667,105.8677168,928.3177667,104.856562
995.4047129,105.8446689,995.4047129,104.8408003
1067.339846,105.9036408,1067.339846,104.9326052
1144.473532,105.9516121,1144.473532,105.0836611
1227.181455,105.9099415,1227.181455,105.1961451
1315.866449,105.8077892,1315.866449,105.2628601
1410.960462,105.6394511,1410.960462,105.3507576
1512.926655,105.4712376,1512.926655,105.4980667
1622.261662,105.3964416,1622.261662,105.6489591
1739.498005,105.5530338,1739.498005,105.6500448
1865.206694,105.9687695,1865.206694,105.5648386
2000,106.5095756,2000,105.5866168
2144.534444,107.0098368,2144.534444,105.8459723
2299.513991,107.3989965,2299.513991,106.2937574
2465.693479,107.6767076,2465.693479,106.7626097
2643.882297,107.8682582,2643.882297,107.1783649
2834.948326,107.9918902,2834.948326,107.5228146
3039.822166,108.0449138,3039.822166,107.7781706
3259.501669,108.0115326,3259.501669,107.9184781
3495.0568,107.8921539,3495.0568,107.9267542
3747.634846,107.7056181,3747.634846,107.7987385
4018.466005,107.4743964,4018.466005,107.5596226
4308.86938,107.2199555,4308.86938,107.2630864
4620.2594,106.9715368,4620.2594,106.9758447
4954.152712,106.7840478,4954.152712,106.7605009
5312.175566,106.7232014,5312.175566,106.6554261
5696.071737,106.8055613,5696.071737,106.6464337
6107.711018,106.9466761,6107.711018,106.6283867
6549.098326,106.9499928,6549.098326,106.4031889
7022.383468,106.6073522,7022.383468,105.7847978
7529.871614,105.8084707,7529.871614,104.6959703
8074.034517,104.5861216,8074.034517,103.2062246
8657.522562,103.1663266,8657.522562,101.577242
9283.177667,102.0025582,9283.177667,100.2843044
9954.047129,101.7451035,9954.047129,99.99161802
10673.39846,103.0919215,10673.39846,101.4768383
11444.73532,105.2558068,11444.73532,103.8971339
12271.81455,105.7776459,12271.81455,104.456998
13158.66449,105.0532481,13158.66449,103.7513401
14109.60462,102.5436295,14109.60462,101.1709005
15129.26655,98.17235242,15129.26655,96.71513512
16222.61662,95.10994251,16222.61662,94.54385326
17394.98005,93.8520108,17394.98005,94.35979355
18652.06694,93.3107041,18652.06694,94.39621647
20000,93.02623307,20000,94.37981011
